unnamed:_0,id,gender,car,reality,no_of_child,family_type,house_type,flag_mobil,work_phone,phone,e_mail,family_size,begin_month,age,years_employed,target,income,income_type,education_type,age_group,employment_level,income_level
0,5008806,1,1,1,0,1,1,1,0,0,0,2.0,29,59,3.0,0,112500.0,4,4,middle_aged,junior,low
1,5008808,0,0,1,0,3,1,1,0,1,1,1.0,4,52,8.0,0,270000.0,0,4,middle_aged,mid,high
2,5008809,0,0,1,0,3,1,1,0,1,1,1.0,26,52,8.0,0,270000.0,0,4,middle_aged,mid,high
3,5008810,0,0,1,0,3,1,1,0,1,1,1.0,26,52,8.0,0,270000.0,0,4,middle_aged,mid,high
4,5008811,0,0,1,0,3,1,1,0,1,1,1.0,38,52,8.0,0,270000.0,0,4,middle_aged,mid,high
5,5008815,1,1,1,0,1,1,1,1,1,1,2.0,5,46,2.0,0,270000.0,4,1,middle_aged,new,high
6,5112956,1,1,1,0,1,1,1,1,1,1,2.0,42,46,2.0,0,270000.0,4,1,middle_aged,new,high
7,5008819,1,1,1,0,1,1,1,0,0,0,2.0,17,49,3.0,0,135000.0,0,4,middle_aged,junior,low
8,5008820,1,1,1,0,1,1,1,0,0,0,2.0,16,49,3.0,0,135000.0,0,4,middle_aged,junior,low
9,5008821,1,1,1,0,1,1,1,0,0,0,2.0,8,49,3.0,0,135000.0,0,4,middle_aged,junior,low
10,5008822,1,1,1,0,1,1,1,0,0,0,2.0,22,49,3.0,0,135000.0,0,4,middle_aged,junior,low
11,5008823,1,1,1,0,1,1,1,0,0,0,2.0,7,49,3.0,0,135000.0,0,4,middle_aged,junior,low
12,5008824,1,1,1,0,1,1,1,0,0,0,2.0,3,49,3.0,0,135000.0,0,4,middle_aged,junior,low
13,5008825,0,1,0,0,1,1,1,0,0,0,2.0,25,29,3.0,0,130500.0,4,2,young,junior,low
14,5008826,0,1,0,0,1,1,1,0,0,0,2.0,30,29,3.0,0,130500.0,4,2,young,junior,low
15,5008830,0,0,1,0,1,1,1,0,1,0,2.0,31,27,4.0,0,157500.0,4,4,young,junior,medium
16,5008831,0,0,1,0,1,1,1,0,1,0,2.0,19,27,4.0,0,157500.0,4,4,young,junior,medium
17,5008832,0,0,1,0,1,1,1,0,1,0,2.0,34,27,4.0,0,157500.0,4,4,young,junior,medium
18,5008836,1,1,1,3,1,1,1,0,0,0,5.0,24,35,3.0,0,270000.0,4,4,adult,junior,high
19,5008837,1,1,1,3,1,1,1,0,0,0,5.0,18,35,3.0,0,270000.0,4,4,adult,junior,high
26,5008844,1,1,1,0,1,1,1,0,1,0,2.0,43,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
27,5008846,1,1,1,0,1,1,1,0,1,0,2.0,11,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
28,5008847,1,1,1,0,1,1,1,0,1,0,2.0,46,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
29,5008849,1,1,1,0,1,1,1,0,1,0,2.0,51,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
30,5008850,1,1,1,0,1,1,1,0,1,0,2.0,25,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
31,5008851,1,1,1,0,1,1,1,0,1,0,2.0,11,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
32,5008852,1,1,1,0,1,1,1,0,1,0,2.0,0,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
33,5008853,1,1,1,0,1,1,1,0,1,0,2.0,39,56,12.0,0,112500.0,0,4,middle_aged,experienced,low
34,5008854,0,1,1,2,1,1,1,0,0,0,4.0,39,43,9.0,0,135000.0,4,4,adult,mid,low
35,5008855,0,1,1,2,1,1,1,0,0,0,4.0,28,43,9.0,0,135000.0,4,4,adult,mid,low
36,5008856,0,1,1,2,1,1,1,0,0,0,4.0,3,43,9.0,0,135000.0,4,4,adult,mid,low
37,5008857,0,1,1,2,1,1,1,0,0,0,4.0,27,43,9.0,0,135000.0,4,4,adult,mid,low
38,5008858,0,1,1,2,1,1,1,0,0,0,4.0,10,43,9.0,0,135000.0,4,4,adult,mid,low
39,5008859,0,1,1,2,1,1,1,0,0,0,4.0,4,43,9.0,0,135000.0,4,4,adult,mid,low
40,5008860,0,1,1,2,1,1,1,0,0,0,4.0,3,43,9.0,0,135000.0,4,4,adult,mid,low
41,5008861,0,1,1,2,1,1,1,0,0,0,4.0,3,43,9.0,0,135000.0,4,4,adult,mid,low
42,5008862,0,1,1,2,1,1,1,0,0,0,4.0,2,43,9.0,0,135000.0,4,4,adult,mid,low
43,5008863,0,1,1,2,1,1,1,0,0,0,4.0,2,43,9.0,0,135000.0,4,4,adult,mid,low
44,5008864,0,1,1,2,1,1,1,0,0,0,4.0,2,43,5.0,0,135000.0,4,4,adult,junior,low
45,5008865,0,1,1,2,1,1,1,0,0,0,4.0,8,43,9.0,0,135000.0,4,4,adult,mid,low
46,5008866,0,1,1,2,1,1,1,0,0,0,4.0,19,43,9.0,0,135000.0,4,4,adult,mid,low
47,5008867,0,1,1,2,1,1,1,0,0,0,4.0,25,43,9.0,0,135000.0,4,4,adult,mid,low
48,5112846,0,1,1,2,1,1,1,0,0,0,4.0,18,43,9.0,0,135000.0,4,4,adult,mid,low
49,5008868,0,0,1,1,0,1,1,0,0,0,3.0,24,44,19.0,0,211500.0,2,4,adult,experienced,medium
50,5008870,0,0,1,1,0,1,1,0,0,0,3.0,20,44,19.0,0,211500.0,2,4,adult,experienced,medium
51,5008872,1,1,1,0,1,1,1,0,1,0,2.0,10,46,15.0,0,360000.0,0,4,middle_aged,experienced,high
52,5008873,0,0,1,2,1,1,1,0,0,1,4.0,21,34,5.0,0,126000.0,0,1,adult,junior,low
53,5008874,0,0,1,2,1,1,1,0,0,1,4.0,45,34,5.0,0,126000.0,0,1,adult,junior,low
54,5008875,0,0,1,2,1,1,1,0,0,1,4.0,39,34,5.0,0,126000.0,0,1,adult,junior,low
55,5008876,0,0,1,2,1,1,1,0,0,1,4.0,43,34,5.0,0,126000.0,0,1,adult,junior,low
56,5008877,0,0,1,2,1,1,1,0,0,1,4.0,7,34,5.0,0,126000.0,0,1,adult,junior,low
57,5008878,0,0,1,2,1,1,1,0,0,1,4.0,43,34,5.0,0,126000.0,0,1,adult,junior,low
58,5008879,0,0,1,2,1,1,1,0,0,1,4.0,21,34,5.0,0,126000.0,0,1,adult,junior,low
59,5008880,0,0,1,2,1,1,1,0,0,1,4.0,10,34,5.0,0,126000.0,0,1,adult,junior,low
60,5008881,0,0,1,2,1,1,1,0,0,1,4.0,19,34,5.0,0,126000.0,0,1,adult,junior,low
61,5008882,0,0,1,2,1,1,1,0,0,1,4.0,45,34,5.0,0,126000.0,0,1,adult,junior,low
62,5008888,0,0,1,0,2,4,1,0,0,0,1.0,11,47,4.0,0,247500.0,0,1,middle_aged,junior,medium
63,5008889,0,0,1,0,2,4,1,0,0,0,1.0,4,47,4.0,0,247500.0,0,1,middle_aged,junior,medium
64,5008890,0,0,1,0,2,4,1,0,0,0,1.0,48,47,4.0,0,247500.0,0,1,middle_aged,junior,medium
65,5112847,0,0,1,0,2,4,1,0,0,0,1.0,25,47,4.0,0,247500.0,0,1,middle_aged,junior,medium
66,5008891,0,0,1,0,3,4,1,0,0,0,1.0,7,43,9.0,0,297000.0,0,4,adult,mid,high
67,5008892,0,0,1,0,3,4,1,0,0,0,1.0,37,43,9.0,0,297000.0,0,4,adult,mid,high
68,5008893,0,0,1,0,3,4,1,0,0,0,1.0,36,43,9.0,0,297000.0,0,4,adult,mid,high
69,5008894,0,0,1,0,3,4,1,0,0,0,1.0,36,43,9.0,0,297000.0,0,4,adult,mid,high
70,5008895,0,0,1,0,3,4,1,0,0,0,1.0,34,43,9.0,0,297000.0,0,4,adult,mid,high
71,5008896,0,0,1,0,3,4,1,0,0,0,1.0,34,43,9.0,0,297000.0,0,4,adult,mid,high
72,5008897,0,0,1,0,3,4,1,0,0,0,1.0,32,43,9.0,0,297000.0,0,4,adult,mid,high
73,5008898,0,0,1,0,3,4,1,0,0,0,1.0,31,43,9.0,0,297000.0,0,4,adult,mid,high
74,5008899,0,0,1,0,3,4,1,0,0,0,1.0,30,43,9.0,0,297000.0,0,4,adult,mid,high
75,5008900,0,0,1,0,3,4,1,0,0,0,1.0,29,43,9.0,0,297000.0,0,4,adult,mid,high
76,5008901,0,0,1,0,3,4,1,0,0,0,1.0,27,43,9.0,0,297000.0,0,4,adult,mid,high
77,5008902,0,0,1,0,3,4,1,0,0,0,1.0,27,43,9.0,0,297000.0,0,4,adult,mid,high
78,5008903,0,0,1,0,3,4,1,0,0,0,1.0,27,43,9.0,0,297000.0,0,4,adult,mid,high
